Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
25314,62e2,"ANNDL FD 2","D","Annandale Fire 2","Fire-Tac","Wright County"
25315,62e3,"ANNDL FD 3","D","Annandale Fire 3","Fire-Tac","Wright County"
25316,62e4,"BUFF FD 1","D","Buffalo Fire 1","Fire-Tac","Wright County"
25317,62e5,"BUFF D 2","D","Buffalo Fire 2","Fire-Tac","Wright County"
25318,62e6,"BUFF D 3","D","Buffalo Fire 3","Fire-Tac","Wright County"
25319,62e7,"CLRW FD 1","D","Clearwater Fire 1","Fire-Tac","Wright County"
25320,62e8,"CLRW FD 2","D","Clearwater Fire 2","Fire-Tac","Wright County"
25321,62e9,"CLRW FD 3","D","Clearwater Fire 3","Fire-Tac","Wright County"
25322,62ea,"COKATO FD 1","D","Cokato Fire 1","Fire-Tac","Wright County"
25323,62eb,"COKATO FD 2","D","Cokato Fire 2","Fire-Tac","Wright County"
25324,62ec,"COKATO FD 3","D","Cokato Fire 3","Fire-Tac","Wright County"
25325,62ed,"COKATO  EMS","D","Cokato Ambulance","EMS-Tac","Wright County"
25326,62ee,"COKATO EMS A","D","Cokato Ambulance All","EMS-Tac","Wright County"
25327,62ef,"DELANO FD 1","D","Delano Fire 1","Fire-Tac","Wright County"
25328,62f0,"DELANO FD 2","D","Delano Fire 2","Fire-Tac","Wright County"
25329,62f1,"DELANO FD 3","D","Delano Fire 2","Fire-Tac","Wright County"
25330,62f2,"HANOVR FD 1","D","Hanover Fire 1","Fire-Tac","Wright County"
25331,62f3,"HANOVR FD 2","D","Hanover Fire 2","Fire-Tac","Wright County"
25332,62f4,"HANOVR FD 3","D","Hanover Fire 3","Fire-Tac","Wright County"
25333,62f5,"HOW LK FD 1","D","Howard Lake Fire 1","Fire-Tac","Wright County"
25334,62f6,"HOW LK FD 2","D","Howard Lake Fire 2","Fire-Tac","Wright County"
25335,62f7,"HOW LK FD 3","D","Howard Lake Fire 3","Fire-Tac","Wright County"
25336,62f8,"MPL LK FD 1","D","Maple Lake Fire 1","Fire-Tac","Wright County"
25337,62f9,"MPL LK FD 2","D","Maple Lake Fire 2","Fire-Tac","Wright County"
25338,62fa,"MPL LK FD3","D","Maple Lake Fire 3","Fire-Tac","Wright County"
25339,62fb,"MTCLO FD 1","D","Monticello Fire 1","Fire-Tac","Wright County"
25340,62fc,"MTCLO FD 2","D","Monticello Fire 2","Fire-Tac","Wright County"
25341,62fd,"MTCLO FD 3","D","Monticello Fire 3","Fire-Tac","Wright County"
25342,62fe,"MNTRSE FD 1","D","Montrose Fire 1","Fire-Tac","Wright County"
25343,62ff,"MNTRSE FD 2","D","Montrose Fire 2","Fire-Tac","Wright County"
25344,6300,"MNTRSE FD 3","D","Montrose Fire 3","Fire-Tac","Wright County"
25345,6301,"ROKFRD FD 1","D","Rockford Fire 1","Fire-Tac","Wright County"
25346,6302,"ROKFRD FD 2","D","Rockford Fire 2","Fire-Tac","Wright County"
25347,6303,"ROKFRD FD 3","D","Rockford Fire 3","Fire-Tac","Wright County"
25348,6304,"S HAVEN FD 1","D","South Haven Fire 1","Fire-Tac","Wright County"
25349,6305,"S HAVEN FD 2","D","South Haven Fire 2","Fire-Tac","Wright County"
25350,6306,"S HAVEN FD 3","D","South Haven Fire 3","Fire-Tac","Wright County"
25351,6307,"ST MCHL FD 1","D","St. Michael Fire 1","Fire-Tac","Wright County"
25352,6308,"ST MCHL FD 2","D","St. Michael Fire 2","Fire-Tac","Wright County"
25353,6309,"ST MCHL FD 3","D","St. Michael Fire 3","Fire-Tac","Wright County"
25354,630a,"WAVRLY FD 1","D","Waverly Fire 1","Fire-Tac","Wright County"
25355,630b,"WAVRLY FD 2","D","Waverly Fire 2","Fire-Tac","Wright County"
25356,630c,"WAVRLY FD 3","D","Waverly Fire 3","Fire-Tac","Wright County"
25357,630d,"WR EMS 1","D","County EMS 1","EMS Dispatch","Wright County"
25358,630e,"WR EMS 2 ","D","County EMS 2","EMS Dispatch","Wright County"
25359,630f,"WR BKUP MAIN 1","D","Backup LAW MAIN 1","Law Dispatch","Wright County"
25360,6310,"WR BKUP LAW 2","D","Backup LAW 2","Law Dispatch","Wright County"
25361,6311,"WR BKUP LAW 3","D","Backup LAW 3","Law Dispatch","Wright County"
25362,6312,"WR LE MAIN 1E","DE","LAW MAIN 1E","Law Dispatch","Wright County"
